                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4755,                 1.3352,                 1.5904,                0.64666,                0.73004,                0.72491,                 0.5173,                 1.1732,                 1.2798,                 1.4462,               0.008911,               0.008911,               0.008911
                     36,                 1.4861,                  1.329,                 1.6032,                0.62797,                 0.6936,                0.72868,                0.52573,                 1.1321,                 1.2668,                 1.4198,               0.008878,               0.008878,               0.008878
                     37,                 1.4878,                 1.3429,                 1.5978,                0.64182,                0.69455,                0.71032,                0.51314,                 1.1334,                 1.3169,                 1.4168,               0.008845,               0.008845,               0.008845
                     38,                  1.488,                 1.3334,                 1.6051,                0.64662,                0.69549,                0.72378,                0.52319,                 1.1124,                 1.3011,                 1.4009,               0.008812,               0.008812,               0.008812
                     39,                 1.4815,                 1.3107,                 1.5925,                0.66929,                0.73827,                0.76452,                0.55356,                 1.1379,                 1.2759,                 1.4163,               0.008779,               0.008779,               0.008779
                     40,                 1.4733,                 1.2984,                 1.5819,                 0.7303,                0.67829,                0.74211,                0.54166,                 1.1295,                 1.3157,                 1.4062,               0.008746,               0.008746,               0.008746
                     41,                 1.4831,                 1.3265,                 1.6069,                0.64001,                0.66923,                0.70244,                0.50043,                   1.13,                 1.3541,                 1.4176,               0.008713,               0.008713,               0.008713
                     42,                 1.4552,                 1.2723,                 1.5764,                0.72854,                0.71868,                0.77068,                0.55874,                 1.1587,                 1.2652,                 1.4366,                0.00868,                0.00868,                0.00868
                     43,                 1.4831,                 1.2907,                 1.5826,                0.71289,                 0.7074,                0.76173,                  0.555,                 1.1304,                 1.2209,                 1.4074,               0.008647,               0.008647,               0.008647
                     44,                 1.4622,                 1.2592,                 1.5708,                0.72467,                0.72518,                0.78278,                0.56896,                 1.1018,                 1.2026,                 1.3927,               0.008614,               0.008614,               0.008614
                     45,                   1.47,                 1.2632,                 1.5751,                 0.7056,                0.76396,                0.79551,                0.58328,                  1.138,                 1.1716,                 1.4189,               0.008581,               0.008581,               0.008581
                     46,                  1.458,                 1.2563,                 1.5751,                0.71734,                0.74063,                0.78676,                0.57369,                 1.1411,                 1.2478,                 1.4528,               0.008548,               0.008548,               0.008548
                     47,                 1.4452,                 1.2248,                 1.5614,                0.70834,                0.73189,                0.77032,                0.55359,                 1.1365,                 1.2222,                 1.4059,               0.008515,               0.008515,               0.008515
                     48,                  1.459,                  1.232,                 1.5764,                0.69109,                0.74181,                0.77771,                0.56861,                 1.1162,                 1.2424,                 1.4076,               0.008482,               0.008482,               0.008482
                     49,                 1.4755,                 1.2816,                 1.5866,                0.74994,                0.71487,                0.78388,                0.56896,                 1.1292,                 1.2199,                 1.4201,               0.008449,               0.008449,               0.008449
                     50,                 1.4364,                 1.2259,                 1.5534,                0.72938,                  0.734,                0.78128,                0.57148,                 1.1098,                 1.1846,                 1.3799,               0.008416,               0.008416,               0.008416
                     51,                 1.4624,                 1.2644,                 1.5682,                0.72737,                0.71136,                0.77232,                0.56348,                 1.1154,                 1.2462,                 1.4056,               0.008383,               0.008383,               0.008383
                     52,                 1.4621,                 1.2382,                 1.5789,                0.75684,                0.74194,                0.80929,                0.59533,                 1.1009,                 1.1903,                 1.3929,                0.00835,                0.00835,                0.00835
                     53,                   1.45,                 1.2161,                 1.5629,                0.76719,                0.74258,                0.80611,                0.59648,                 1.1327,                 1.2182,                 1.4114,               0.008317,               0.008317,               0.008317
                     54,                 1.4307,                 1.2078,                 1.5607,                0.77667,                0.76455,                0.83396,                0.61818,                 1.1206,                 1.1383,                 1.4077,               0.008284,               0.008284,               0.008284
                     55,                 1.4244,                 1.1836,                 1.5446,                0.74821,                 0.7714,                0.80441,                0.59649,                 1.0932,                 1.1674,                 1.3761,               0.008251,               0.008251,               0.008251
