                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4716,                 1.2519,                 1.5408,                 0.7167,                0.71545,                 0.7533,                0.53934,                 1.1628,                 1.2685,                 1.3865,               0.008911,               0.008911,               0.008911
                     36,                 1.4933,                 1.2571,                 1.5424,                0.72837,                 0.6904,                0.75468,                0.55159,                 1.1275,                 1.2579,                 1.3692,               0.008878,               0.008878,               0.008878
                     37,                 1.4609,                 1.2677,                 1.5384,                0.74113,                0.70522,                0.76293,                0.54967,                 1.1439,                 1.2025,                 1.3828,               0.008845,               0.008845,               0.008845
                     38,                 1.4503,                  1.248,                 1.5207,                0.72392,                0.70665,                0.76313,                0.55083,                 1.1341,                  1.231,                 1.3673,               0.008812,               0.008812,               0.008812
                     39,                 1.4727,                 1.2456,                  1.542,                0.67867,                0.68156,                 0.7437,                0.53494,                 1.1327,                 1.2579,                 1.3658,               0.008779,               0.008779,               0.008779
                     40,                 1.4569,                 1.2155,                 1.5218,                 0.6289,                0.69988,                0.72171,                0.51766,                 1.1592,                  1.333,                 1.3842,               0.008746,               0.008746,               0.008746
                     41,                 1.4462,                 1.2107,                 1.5177,                0.73893,                0.72056,                 0.7704,                0.55068,                 1.1369,                 1.2286,                 1.3611,               0.008713,               0.008713,               0.008713
                     42,                 1.4854,                 1.2335,                 1.5441,                0.69326,                0.73493,                 0.7683,                0.55558,                 1.1685,                 1.2281,                 1.3892,                0.00868,                0.00868,                0.00868
                     43,                 1.4633,                  1.206,                 1.5175,                0.76324,                 0.7434,                0.81534,                0.59548,                 1.1293,                  1.158,                 1.3702,               0.008647,               0.008647,               0.008647
                     44,                 1.4874,                 1.2481,                 1.5413,                 0.7576,                0.72833,                0.79312,                0.57446,                 1.1385,                  1.216,                 1.3659,               0.008614,               0.008614,               0.008614
                     45,                 1.4869,                 1.2355,                 1.5445,                0.75249,                0.75251,                0.81731,                0.59273,                 1.1366,                  1.149,                 1.3606,               0.008581,               0.008581,               0.008581
                     46,                 1.4434,                 1.1929,                 1.5206,                0.74443,                 0.7426,                 0.8019,                0.58278,                 1.1741,                 1.1983,                  1.401,               0.008548,               0.008548,               0.008548
                     47,                 1.4383,                 1.1842,                 1.5075,                0.72801,                0.74162,                0.79149,                0.57976,                 1.1394,                 1.2636,                   1.37,               0.008515,               0.008515,               0.008515
                     48,                 1.4468,                 1.1933,                 1.5153,                0.75418,                0.73436,                0.79012,                0.55912,                 1.1744,                 1.2122,                 1.3909,               0.008482,               0.008482,               0.008482
                     49,                 1.4611,                 1.2129,                 1.5236,                0.71734,                0.72742,                0.78532,                0.57848,                 1.1078,                 1.1927,                 1.3452,               0.008449,               0.008449,               0.008449
                     50,                 1.4232,                 1.1696,                 1.4918,                0.76514,                0.73885,                0.80848,                 0.5918,                 1.1344,                 1.1658,                 1.3587,               0.008416,               0.008416,               0.008416
                     51,                 1.4302,                 1.1707,                 1.4907,                0.76729,                0.75732,                0.79256,                0.58539,                 1.1129,                 1.1924,                 1.3424,               0.008383,               0.008383,               0.008383
                     52,                  1.441,                 1.1688,                 1.5044,                0.75822,                0.78452,                0.82912,                0.61381,                 1.1154,                  1.104,                 1.3481,                0.00835,                0.00835,                0.00835
                     53,                 1.4228,                 1.1441,                 1.4886,                0.77467,                0.76492,                0.83328,                0.61451,                 1.1245,                 1.1137,                  1.341,               0.008317,               0.008317,               0.008317
                     54,                 1.4283,                 1.1387,                 1.4827,                0.76675,                0.73717,                0.80425,                0.59833,                 1.1009,                 1.1579,                 1.3228,               0.008284,               0.008284,               0.008284
                     55,                 1.4323,                 1.1388,                 1.4924,                0.81399,                0.76905,                 0.8437,                0.62238,                 1.0983,                 1.0579,                 1.3276,               0.008251,               0.008251,               0.008251
                     56,                 1.4259,                 1.1641,                 1.5009,                0.77996,                0.77324,                0.82125,                0.60658,                 1.1146,                 1.1355,                 1.3468,               0.008218,               0.008218,               0.008218
                     57,                 1.4113,                 1.1529,                 1.4951,                0.74494,                0.73223,                0.81034,                0.59696,                 1.1275,                 1.1487,                 1.3526,               0.008185,               0.008185,               0.008185
                     58,                 1.4296,                 1.1529,                 1.4841,                 0.7987,                0.77159,                0.83316,                0.61957,                 1.1115,                 1.0964,                 1.3474,               0.008152,               0.008152,               0.008152
                     59,                 1.4315,                 1.1557,                  1.492,                0.80055,                0.77595,                0.84077,                 0.6183,                 1.1131,                 1.0795,                 1.3447,               0.008119,               0.008119,               0.008119
                     60,                 1.4294,                 1.1546,                 1.4921,                  0.798,                0.78421,                  0.839,                0.62434,                  1.122,                 1.0846,                  1.359,               0.008086,               0.008086,               0.008086
                     61,                 1.4216,                 1.1261,                  1.479,                0.81189,                0.77889,                0.84691,                0.63456,                 1.0829,                 1.0562,                  1.315,               0.008053,               0.008053,               0.008053
                     62,                 1.4258,                 1.1291,                 1.4891,                0.80838,                0.77622,                0.84354,                 0.6228,                 1.1165,                 1.1049,                 1.3462,                0.00802,                0.00802,                0.00802
                     63,                 1.4265,                 1.1262,                 1.4933,                0.81327,                0.78366,                0.84493,                0.62819,                  1.103,                 1.0753,                 1.3377,               0.007987,               0.007987,               0.007987
                     64,                 1.4171,                 1.1425,                 1.4907,                0.77766,                0.77538,                0.83947,                 0.6243,                 1.1181,                 1.0981,                 1.3428,               0.007954,               0.007954,               0.007954
                     65,                 1.4165,                 1.0937,                 1.4665,                 0.8145,                0.78008,                0.85341,                0.63948,                 1.0856,                 1.0491,                 1.3265,               0.007921,               0.007921,               0.007921
                     66,                  1.413,                 1.1216,                 1.4897,                0.81971,                0.77696,                0.85073,                0.62724,                 1.1372,                  1.072,                 1.3601,               0.007888,               0.007888,               0.007888
                     67,                 1.4164,                 1.1106,                 1.4835,                0.79112,                0.78371,                0.83794,                0.61981,                 1.0956,                 1.1106,                 1.3198,               0.007855,               0.007855,               0.007855
                     68,                 1.4042,                  1.121,                 1.4683,                0.78947,                0.77049,                0.84065,                0.62794,                 1.1137,                    1.1,                 1.3256,               0.007822,               0.007822,               0.007822
                     69,                 1.4144,                 1.1153,                 1.4837,                0.80183,                0.73926,                0.81416,                0.59811,                 1.1178,                 1.1296,                 1.3421,               0.007789,               0.007789,               0.007789
                     70,                 1.4135,                 1.1035,                 1.4839,                0.80757,                0.79305,                0.85815,                0.64112,                 1.0803,                 1.0518,                 1.3317,               0.007756,               0.007756,               0.007756
                     71,                 1.4168,                 1.1201,                 1.4876,                0.82585,                0.79872,                0.86185,                0.64593,                 1.0887,                 1.0274,                 1.3364,               0.007723,               0.007723,               0.007723
                     72,                 1.3943,                 1.0985,                 1.4656,                0.81202,                0.81356,                0.87311,                0.65403,                 1.0882,                 1.0072,                 1.3187,                0.00769,                0.00769,                0.00769
                     73,                 1.3916,                 1.0728,                 1.4702,                0.78621,                 0.8021,                0.84953,                0.63371,                 1.1048,                 1.0638,                 1.3369,               0.007657,               0.007657,               0.007657
                     74,                  1.408,                 1.1057,                 1.4831,                0.82252,                0.79529,                0.86652,                0.65116,                 1.0818,                 1.0238,                 1.3081,               0.007624,               0.007624,               0.007624
                     75,                 1.3971,                 1.0651,                 1.4686,                 0.8155,                0.82307,                0.87072,                0.65696,                   1.08,                 1.0122,                 1.3138,               0.007591,               0.007591,               0.007591
                     76,                 1.4014,                 1.0802,                 1.4654,                0.84156,                0.80131,                0.87276,                0.65618,                 1.0738,                 1.0185,                 1.3162,               0.007558,               0.007558,               0.007558
                     77,                 1.3745,                 1.0628,                 1.4611,                0.82483,                0.80468,                0.87064,                0.65068,                 1.1013,                 1.0032,                 1.3248,               0.007525,               0.007525,               0.007525
                     78,                 1.3927,                 1.0696,                 1.4701,                0.84763,                0.79599,                0.87005,                0.65717,                 1.0754,                0.98905,                 1.3109,               0.007492,               0.007492,               0.007492
                     79,                 1.3897,                 1.0565,                 1.4514,                0.82327,                0.79168,                0.86868,                0.65345,                 1.0702,                0.99093,                 1.3051,               0.007459,               0.007459,               0.007459
                     80,                 1.3842,                 1.0766,                 1.4701,                0.83571,                0.79652,                0.87196,                 0.6563,                 1.0658,                0.99725,                 1.3081,               0.007426,               0.007426,               0.007426
                     81,                 1.3971,                   1.07,                 1.4662,                0.83608,                0.81088,                0.87141,                0.65746,                 1.0901,                 1.0151,                 1.3238,               0.007393,               0.007393,               0.007393
                     82,                 1.3889,                 1.0595,                  1.466,                0.84371,                0.82527,                0.88129,                0.66804,                 1.0672,                0.96525,                 1.3067,                0.00736,                0.00736,                0.00736
                     83,                 1.3988,                 1.0698,                 1.4682,                0.83876,                0.79829,                0.86717,                0.65478,                 1.0744,                 1.0089,                 1.3131,               0.007327,               0.007327,               0.007327
                     84,                 1.3772,                 1.0502,                  1.459,                0.80439,                0.81493,                0.87643,                0.66421,                 1.0766,                 1.0016,                 1.3128,               0.007294,               0.007294,               0.007294
                     85,                 1.3864,                 1.0723,                 1.4697,                0.83146,                0.79596,                0.86616,                0.65222,                 1.0764,                 1.0088,                 1.3106,               0.007261,               0.007261,               0.007261
                     86,                 1.3735,                 1.0419,                 1.4498,                0.85285,                0.81093,                0.88121,                0.66985,                 1.0692,                0.98056,                 1.3029,               0.007228,               0.007228,               0.007228
                     87,                 1.3737,                 1.0355,                 1.4472,                0.83564,                0.80969,                0.88168,                 0.6646,                 1.0931,                0.97858,                 1.3268,               0.007195,               0.007195,               0.007195
                     88,                 1.3785,                 1.0521,                 1.4576,                0.84802,                0.81544,                0.88211,                0.66672,                 1.0693,                0.95924,                 1.3074,               0.007162,               0.007162,               0.007162
                     89,                 1.3588,                 1.0447,                 1.4423,                0.83607,                0.80064,                0.87608,                0.66257,                   1.07,                0.98778,                 1.3062,               0.007129,               0.007129,               0.007129
