                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.467,                 1.2255,                 1.4953,                 0.7123,                0.72363,                0.76648,                0.54677,                 1.1372,                 1.2104,                 1.3437,               0.008911,               0.008911,               0.008911
                     36,                 1.4627,                 1.2144,                 1.4879,                0.65309,                0.73256,                0.72274,                 0.5171,                 1.2004,                 1.4928,                 1.3904,               0.008878,               0.008878,               0.008878
                     37,                 1.4509,                 1.1893,                 1.4856,                0.74494,                0.73373,                0.79331,                0.57841,                 1.1455,                 1.2385,                 1.3512,               0.008845,               0.008845,               0.008845
                     38,                 1.4597,                 1.1855,                 1.4859,                0.75543,                0.75199,                0.81028,                0.59611,                 1.1365,                 1.2039,                 1.3453,               0.008812,               0.008812,               0.008812
                     39,                 1.4463,                 1.1954,                 1.4913,                 0.7156,                0.74325,                0.79731,                 0.5636,                  1.184,                 1.2437,                   1.38,               0.008779,               0.008779,               0.008779
                     40,                 1.4472,                 1.1675,                 1.4843,                0.77362,                0.75969,                0.83122,                0.60571,                  1.138,                 1.1521,                 1.3546,               0.008746,               0.008746,               0.008746
                     41,                 1.4508,                  1.185,                 1.4868,                0.79544,                0.73329,                0.80745,                0.59596,                 1.1176,                 1.1912,                 1.3315,               0.008713,               0.008713,               0.008713
                     42,                  1.444,                 1.1602,                 1.4739,                0.77629,                0.77529,                 0.8231,                0.60196,                 1.1178,                 1.1357,                 1.3337,                0.00868,                0.00868,                0.00868
                     43,                 1.4361,                 1.1615,                 1.4783,                0.76848,                0.72412,                0.79442,                0.57895,                 1.1406,                 1.2277,                 1.3676,               0.008647,               0.008647,               0.008647
                     44,                 1.4568,                 1.1746,                 1.4914,                0.78043,                0.77753,                0.84084,                0.62556,                 1.1133,                 1.0695,                 1.3265,               0.008614,               0.008614,               0.008614
                     45,                 1.4375,                 1.1311,                  1.472,                0.75615,                0.78277,                 0.8284,                0.61457,                 1.1208,                 1.1592,                 1.3338,               0.008581,               0.008581,               0.008581
                     46,                 1.4306,                 1.1389,                 1.4629,                0.76095,                0.75317,                0.81051,                0.60582,                 1.1184,                 1.1644,                 1.3191,               0.008548,               0.008548,               0.008548
